source,HCODE,SIGUNGU,EUPMYEON,name,address,type_name,type_code,assigned_pop,capacity_est,p_elderly,p_child,vuln,pressure,priority,lat,lon
통합,4477035000,서천군,마산면,석동경로당,충청남도 서천군 마산면 안당길 181-1 ,한파쉼터,1,1387.0,3908.0,0.5623648161499639,0.01802451333813987,0.39906272530641673,0.35491299897645856,196.4443449334698,36.1010854,126.7829002
통합,4691039000,신안군,장산면,장산농협,전라남도 신안군 장산면 아미산길 8 ,한파쉼터,1,1503.0,3908.0,0.4590818363273453,0.030605455755156354,0.3305389221556886,0.3845957011258956,191.06714431934492,34.6418764,126.147176
민방위,4128162100,고양시 덕양구,화정1동,,,,,3893.0,12383.0,0.20618792099554745,0.034164859002169194,0.15458100239753395,0.31438262133570216,189.19038183030796,37.641925,126.835678
민방위,3014068000,중구,태평1동,,,,,2018.0,3630.0,0.21704658077304262,0.05508754542451272,0.16845887016848365,0.5559228650137741,188.9859779614325,36.324564,127.398294
통합,4481032000,예산군,신양면,황계리마을회관,충청남도 예산군 신양면 예당남로 411,한파쉼터,1,1408.0,3908.0,0.5259232954545454,0.00887784090909091,0.37080965909090907,0.3602865916069601,188.10562947799386,36.6019239,126.8271669
통합,4481032000,예산군,신양면,하천리마을회관,충청남도 예산군 신양면 신양하천길 317-8,한파쉼터,1,1408.0,3908.0,0.5259232954545454,0.00887784090909091,0.37080965909090907,0.3602865916069601,188.10562947799386,36.6090444,126.9056752
통합,4481033000,예산군,광시면,미곡리마을회관,충청남도 예산군 광시면미곡길 14,한파쉼터,1,1412.0,3908.0,0.5212464589235127,0.011685552407932011,0.3683781869688385,0.36131013306038895,187.9354657113613,36.5568741,126.7979867
통합,4481033000,예산군,광시면,서초정1리마을회관,충청남도 예산군 광시면 서초정1길 72-8,한파쉼터,1,1412.0,3908.0,0.5212464589235127,0.011685552407932011,0.3683781869688385,0.36131013306038895,187.9354657113613,36.5745099,126.8190452
통합,4682032000,해남군,화산면,하마경로당,전라남도 해남군 화산면 삼마리 222,한파쉼터,1,1436.0,3908.0,0.49634273772204807,0.02647161267850923,0.3553814002089864,0.36745138178096215,187.52061510884087,34.433856,126.43704
통합,4682032000,해남군,화산면,안정경로당,전라남도 해남군 화산면 안호리 373-1,한파쉼터,1,1436.0,3908.0,0.49634273772204807,0.02647161267850923,0.3553814002089864,0.36745138178096215,187.52061510884087,34.445383,126.504334
